id,uptime_sec,slots,slot_time_sec,task_time_sec,idle_time_sec,idle_pct
1,8919.477,5,44597.385,10148.718,34448.667,77.24369265148619
10,1672.025,5,8360.125,3587.923,4772.202,57.08290246856357
100,527.444,5,2637.22,404.27,2232.95,84.67060010162216
101,493.597,5,2467.985,438.504,2029.481,82.23230692244888
102,493.603,5,2468.015,422.133,2045.882,82.8958494984836
103,493.505,5,2467.525,371.397,2096.128,84.94860234445446
104,493.519,5,2467.595,421.402,2046.193,82.92256225190926
105,492.768,5,2463.84,384.268,2079.572,84.40369504513279
106,491.2,5,2456.0,358.778,2097.222,85.39177524429967
107,491.827,5,2459.135,377.688,2081.447,84.64142879508445
108,490.245,5,2451.225,316.01,2135.215,87.10807861375434
109,490.885,5,2454.425,281.548,2172.877,88.52896299540626
11,1723.065,5,8615.325,3449.275,5166.05,59.96349528311469
110,490.007,5,2450.035,382.982,2067.053,84.36830494258245
111,490.127,5,2450.635,431.981,2018.654,82.37269115963821
12,1689.211,5,8446.055,3333.648,5112.407,60.53011731512523
13,1728.311,5,8641.555,3696.366,4945.189,57.225684497755324
14,1669.467,5,8347.335,3438.326,4909.009,58.809296619819385
15,1685.559,5,8427.795,3583.573,4844.222,57.47911523714091
16,1688.844,5,8444.22,3450.538,4993.682,59.13727970138154
17,4608.709,5,23043.545,10094.465,12949.08,56.193958004291446
18,2570.862,5,12854.31,5558.038,7296.272,56.76128862614952
19,1571.577,5,7857.885,3655.015,4202.87,53.48602072949655
2,8821.765,5,44108.825,13481.541,30627.284,69.43572856452195
20,2571.639,5,12858.195,5133.941,7724.254,60.07261516876981
21,1620.569,5,8102.845,4389.611,3713.234,45.826299281301814
22,1623.428,5,8117.14,4372.629,3744.511,46.13091556878408
23,1617.013,5,8085.065,3472.7,4612.365,57.047964363922866
24,1620.205,5,8101.025,3436.31,4664.715,57.581787489854676
25,1613.935,5,8069.675,4370.245,3699.43,45.84360584534073
26,1564.423,5,7822.115,3374.615,4447.5,56.85802369308045
27,1581.545,5,7907.725,3900.734,4006.991,50.67185568542153
28,1473.272,5,7366.36,3344.455,4021.905,54.59826834420256
29,2470.399,5,12351.995,5776.787,6575.208,53.23195159972134
3,8811.956,5,44059.78,11867.126,32192.654,73.06585280271486
30,1279.538,5,6397.69,3451.948,2945.742,46.043837697669005
31,1301.121,5,6505.605,3579.03,2926.575,44.98543947872642
32,490.042,5,2450.21,926.843,1523.367,62.172915790891395
33,2817.321,5,14086.605,4403.322,9683.283,68.74106997392204
34,2820.422,5,14102.11,4650.879,9451.231,67.01997786146896
35,483.887,5,2419.435,910.144,1509.291,62.38196107768963
36,492.157,5,2460.785,902.939,1557.846,63.306871587725055
37,498.335,5,2491.675,974.809,1516.866,60.87736161417521
38,494.204,5,2471.02,954.206,1516.814,61.38412477438466
39,489.735,5,2448.675,935.3,1513.375,61.80383268502353
4,8811.955,5,44059.775,14229.359,29830.416,67.70442200397075
40,493.624,5,2468.12,948.546,1519.574,61.56807610651022
41,2812.182,5,14060.91,4027.522,10033.388,71.35660494235438
42,782.652,5,3913.26,1110.421,2802.839,71.62414457511129
43,785.604,5,3928.02,1107.419,2820.601,71.80719548271139
44,2731.817,5,13659.085,3484.013,10175.072,74.49307182728565
45,2814.634,5,14073.17,4807.566,9265.604,65.8387840124151
46,800.727,5,4003.635,1376.269,2627.366,65.62451372315408
47,804.993,5,4024.965,993.935,3031.03,75.30574800029316
48,1731.184,5,8655.92,2588.039,6067.881,70.1009366999695
49,1724.833,5,8624.165,3118.88,5505.285,63.83557132777492
5,8812.123,5,44060.615,13434.9,30625.715,69.50814236251583
50,1728.049,5,8640.245,2406.679,6233.566,72.1457088311732
51,1729.054,5,8645.27,2333.652,6311.618,73.0066036109919
52,1722.737,5,8613.685,2961.35,5652.335,65.6204052040445
53,1744.02,5,8720.1,2485.506,6234.594,71.49681769704476
54,3835.449,5,19177.245,6719.843,12457.402,64.95928899067619
55,1950.941,5,9754.705,3817.608,5937.097,60.86393181546751
56,1752.136,5,8760.68,2512.425,6248.255,71.32157549413972
57,1065.78,5,5328.9,1450.801,3878.099,72.77485034434874
58,1065.769,5,5328.845,1399.738,3929.107,73.7328070154039
59,1058.216,5,5291.08,1328.116,3962.964,74.89896202665618
6,8811.984,5,44059.92,16992.488,27067.432,61.43323001948255
60,869.153,5,4345.765,1407.021,2938.744,67.62316876315218
61,855.043,5,4275.215,1388.189,2887.026,67.52937571560729
62,854.552,5,4272.76,1359.594,2913.166,68.17995862159354
63,1013.523,5,5067.615,330.8,4736.815,93.47227443284464
64,302.924,5,1514.62,0.0,1514.62,100.0
65,501.047,5,2505.235,60.731,2444.504,97.5758361989993
66,318.967,5,1594.835,55.774,1539.061,96.50283571654748
67,318.828,5,1594.14,61.08,1533.06,96.16846701042569
68,305.75,5,1528.75,26.782,1501.968,98.24811120196239
69,305.767,5,1528.835,26.404,1502.431,98.2729333119663
7,4600.547,5,23002.735,10031.128,12971.607,56.39158560927646
70,322.147,5,1610.735,103.109,1507.626,93.59863664724489
71,318.722,5,1593.61,66.034,1527.576,95.85632620277232
72,311.942,5,1559.71,44.361,1515.349,97.15581742759872
73,332.061,5,1660.305,103.703,1556.602,93.75397893760484
74,301.168,5,1505.84,0.0,1505.84,100.0
75,302.717,5,1513.585,0.0,1513.585,100.0
76,309.131,5,1545.655,11.267,1534.388,99.27105337219496
